State,Adminstrative captials,Legislative capitals,Judiciary capitals,Year capital established,The Former capital
Andaman and Nicobar Islands ,Port Blair,Port Blair,Kolkata,1955,Calcutta (1945–1955)
Andhra Pradesh,"Hyderabad (de jure to 2024)
Amaravati (de facto from 2017)[3] [4] [a]",Amaravati [3],Hyderabad,"1956
2017",Kurnool (1953-1956)
Arunachal Pradesh,Itanagar,Itanagar,Guwahati,1986,Kurnool (1953-1956)
Assam,Dispur,Guwahati,Guwahati,1975,Shillong[b] (1874–1952)
Bihar,Patna,Patna,Patna,1912,Shillong[b] (1874–1952)
Chandigarh ,Chandigarh[c], —,Chandigarh,1966, —
Chhattisgarh,Naya Raipur[d],Raipur,Bilaspur,2000, —
Dadra and Nagar Haveli ,Silvassa, —,Mumbai,1945,"Mumbai (1954–1961)
Panaji (1961–1987)"
Daman and Diu ,Daman, —,Mumbai,1987,"Ahmedabad (1961–1963)
Panaji (1963–1987)"
National Capital Territory of Delhi ,New Delhi,New Delhi,New Delhi,1931, —
Goa,Panaji[e],Porvorim,Mumbai,1961,Panaji (1961–1987)
Gujarat,Gandhinagar,Gandhinagar,Ahmedabad,1960,Ahmedabad (1960–1970)
Haryana,Chandigarh,Chandigarh,Chandigarh,1966, —
Himachal Pradesh,"Shimla
Dharamshala (W/2nd)[8]
","Shimla (Summer)
Dharamsala(Winter)
",Shimla ,"1971
2017
",Bilaspur (1950–1956)
Jammu and Kashmir,"Srinagar (Summer)
Jammu (Winter)","Srinagar (Summer)
Jammu (Winter)","Srinagar (Summer)
Jammu (Winter)",1947, —
Jharkhand,Ranchi,Ranchi,Ranchi,2000, —
Karnataka,Bengaluru,Bengaluru,Bengaluru,1940,(Mysore)
Kerala,Thiruvananthapuram,Thiruvananthapuram,Kochi,1956,(Mysore)
Lakshadweep ,Kavaratti,Kavaratti,Kochi,1956,(Mysore)
Madhya Pradesh,Bhopal,Bhopal,Jabalpur,1956,Nagpur[f] (1861–1956)
Maharashtra,"Mumbai[g]
Nagpur (W/2nd)[h]","Mumbai (S+B)
Nagpur (W)[i]",Mumbai,"1818
1960", —
Manipur,Imphal,Imphal,Imphal,1947, —
Meghalaya,Shillong,Shillong,Shillong,1970, —
Mizoram,Aizawl,Aizawl,Guwahati,1972, —
Nagaland,Kohima,Kohima,Guwahati,1963, —
Odisha,Bhubaneswar,Bhubaneswar,Cuttack,1948,Cuttack (1936–1948)
Puducherry ,Puducherry,Puducherry,Chennai,1954,Madras (1948–1954)
Punjab,Chandigarh,Chandigarh,l,1966,Madras (1948–1954)
Rajasthan,Jaipur,Jaipur,Jodhpur,1950, —
Sikkim,Gangtok[j],Gangtok,Gangtok,1890, —
Tamil Nadu,Chennai[k],Chennai,Chennai,1956, —
Telangana,Hyderabad[l],Hyderabad,Hyderabad,2014, —
Tripura,Agartala,Agartala,Agartala,1956, —
Uttar Pradesh,Lucknow,Lucknow,Allahabad,1938, —
Uttarakhand,Dehradun[m],Dehradun,Nainital,2000, —
West Bengal,Kolkata,Kolkata,Kolkata,1947, —
